eval_day,coverage,above,below,band_width,mae,min_realized,max_realized,realized_std
2026-04-01,0.625,0.333,0.042,18.319,13.055,89.580,218.278,33.436
2026-04-02,0.417,0.250,0.333,12.287,10.431,84.897,160.007,21.619
2026-04-03,0.583,0.083,0.333,20.000,7.832,2.095,136.060,47.508
2026-04-04,0.458,0.208,0.333,28.394,18.978,-0.060,215.000,60.862
2026-04-05,0.333,0.083,0.583,37.331,16.556,-50.430,130.000,57.397
2026-04-06,0.375,0.250,0.375,28.494,22.138,-56.850,166.160,75.758
2026-04-07,0.625,0.167,0.208,27.754,12.833,-11.148,184.933,63.718
2026-04-08,0.625,0.083,0.292,28.744,11.908,-31.845,171.300,64.812
2026-04-09,0.542,0.208,0.250,22.924,8.796,-8.000,145.385,49.944
2026-04-10,0.375,0.500,0.125,15.181,12.686,72.015,238.142,42.238
2026-04-11,0.667,0.042,0.292,35.486,14.638,-28.965,119.900,49.907
2026-04-12,0.583,0.292,0.125,19.419,7.295,-2.072,145.757,49.723
2026-04-13,0.625,0.125,0.250,20.281,9.115,106.213,173.365,20.232
2026-04-14,0.708,0.250,0.042,25.575,7.518,91.660,224.332,33.894
2026-04-15,0.542,0.375,0.083,15.025,6.860,42.398,172.700,34.968
2026-04-16,0.792,0.125,0.083,19.039,5.793,40.002,180.662,36.514
2026-04-17,0.750,0.167,0.083,17.905,7.152,38.905,153.278,32.743
2026-04-18,0.792,0.042,0.167,19.969,5.593,32.100,144.178,35.265
2026-04-19,0.500,0.125,0.375,12.916,6.000,-3.005,124.642,44.805
2026-04-20,0.625,0.083,0.292,16.249,6.025,36.858,156.275,31.041
2026-04-21,0.500,0.083,0.417,13.385,7.371,-8.123,131.475,48.254
2026-04-22,0.375,0.292,0.333,9.521,8.168,-19.597,147.873,55.051
2026-04-23,0.500,0.250,0.250,18.210,10.641,-49.365,151.950,67.817
2026-04-24,0.667,0.167,0.167,15.944,7.181,-29.943,155.653,63.588
2026-04-25,0.417,0.167,0.417,28.607,33.121,-190.340,156.123,109.611
2026-04-26,0.417,0.167,0.417,27.575,60.718,-413.340,165.713,174.961
2026-04-27,0.750,0.250,0.000,42.302,12.253,-0.830,174.822,55.517
2026-04-28,0.583,0.000,0.417,35.150,8.674,-48.000,113.425,58.565
