eval_day,coverage,mae,config
2026-04-01,0.625,13.055,28d_raw
2026-04-02,0.417,10.431,28d_raw
2026-04-03,0.583,7.832,28d_raw
2026-04-04,0.458,18.978,28d_raw
2026-04-05,0.333,16.556,28d_raw
2026-04-06,0.375,22.138,28d_raw
2026-04-07,0.625,12.833,28d_raw
2026-04-08,0.625,11.908,28d_raw
2026-04-09,0.542,8.796,28d_raw
2026-04-10,0.375,12.686,28d_raw
2026-04-11,0.667,14.638,28d_raw
2026-04-12,0.583,7.295,28d_raw
2026-04-13,0.625,9.115,28d_raw
2026-04-14,0.708,7.518,28d_raw
2026-04-15,0.542,6.860,28d_raw
2026-04-16,0.792,5.793,28d_raw
2026-04-17,0.750,7.152,28d_raw
2026-04-18,0.792,5.593,28d_raw
2026-04-19,0.500,6.000,28d_raw
2026-04-20,0.625,6.025,28d_raw
2026-04-21,0.500,7.371,28d_raw
2026-04-22,0.375,8.168,28d_raw
2026-04-23,0.500,10.641,28d_raw
2026-04-24,0.667,7.181,28d_raw
2026-04-25,0.417,33.121,28d_raw
2026-04-26,0.417,60.718,28d_raw
2026-04-27,0.750,12.253,28d_raw
2026-04-28,0.583,8.674,28d_raw
2026-04-01,0.625,13.055,28d_cqr
2026-04-02,0.417,10.431,28d_cqr
2026-04-03,0.583,7.832,28d_cqr
2026-04-04,0.708,18.978,28d_cqr
2026-04-05,0.667,16.556,28d_cqr
2026-04-06,0.542,22.138,28d_cqr
2026-04-07,0.708,12.833,28d_cqr
2026-04-08,0.958,11.908,28d_cqr
2026-04-09,0.958,8.796,28d_cqr
2026-04-10,0.833,12.686,28d_cqr
2026-04-11,0.917,14.638,28d_cqr
2026-04-12,1.000,7.295,28d_cqr
2026-04-13,0.917,9.115,28d_cqr
2026-04-14,0.917,7.518,28d_cqr
2026-04-15,0.833,6.860,28d_cqr
2026-04-16,0.875,5.793,28d_cqr
2026-04-17,0.958,7.152,28d_cqr
2026-04-18,0.958,5.593,28d_cqr
2026-04-19,0.750,6.000,28d_cqr
2026-04-20,0.792,6.025,28d_cqr
2026-04-21,0.583,7.371,28d_cqr
2026-04-22,0.667,8.168,28d_cqr
2026-04-23,0.625,10.641,28d_cqr
2026-04-24,0.875,7.181,28d_cqr
2026-04-25,0.458,33.121,28d_cqr
2026-04-26,0.542,60.718,28d_cqr
2026-04-27,0.875,12.253,28d_cqr
2026-04-28,0.958,8.674,28d_cqr
2026-04-01,0.667,10.197,56d_raw
2026-04-02,0.458,9.608,56d_raw
2026-04-03,0.625,7.836,56d_raw
2026-04-04,0.375,17.436,56d_raw
2026-04-05,0.292,14.624,56d_raw
2026-04-06,0.375,21.341,56d_raw
2026-04-07,0.583,10.607,56d_raw
2026-04-08,0.750,10.637,56d_raw
2026-04-09,0.708,8.634,56d_raw
2026-04-10,0.458,12.612,56d_raw
2026-04-11,0.625,11.286,56d_raw
2026-04-12,0.625,7.328,56d_raw
2026-04-13,0.792,10.527,56d_raw
2026-04-14,0.708,6.383,56d_raw
2026-04-15,0.500,5.972,56d_raw
2026-04-16,0.792,5.602,56d_raw
2026-04-17,0.708,6.385,56d_raw
2026-04-18,0.750,7.102,56d_raw
2026-04-19,0.625,5.268,56d_raw
2026-04-20,0.792,5.527,56d_raw
2026-04-21,0.708,6.529,56d_raw
2026-04-22,0.500,7.346,56d_raw
2026-04-23,0.458,12.267,56d_raw
2026-04-24,0.750,5.898,56d_raw
2026-04-25,0.250,33.946,56d_raw
2026-04-26,0.458,59.334,56d_raw
2026-04-27,0.750,13.164,56d_raw
2026-04-28,0.750,8.078,56d_raw
2026-04-01,0.667,10.197,56d_cqr
2026-04-02,0.458,9.608,56d_cqr
2026-04-03,0.625,7.836,56d_cqr
2026-04-04,0.667,17.436,56d_cqr
2026-04-05,0.625,14.624,56d_cqr
2026-04-06,0.417,21.341,56d_cqr
2026-04-07,0.792,10.607,56d_cqr
2026-04-08,0.917,10.637,56d_cqr
2026-04-09,1.000,8.634,56d_cqr
2026-04-10,0.917,12.612,56d_cqr
2026-04-11,0.792,11.286,56d_cqr
2026-04-12,1.000,7.328,56d_cqr
2026-04-13,0.917,10.527,56d_cqr
2026-04-14,0.875,6.383,56d_cqr
2026-04-15,0.750,5.972,56d_cqr
2026-04-16,0.917,5.602,56d_cqr
2026-04-17,0.958,6.385,56d_cqr
2026-04-18,0.792,7.102,56d_cqr
2026-04-19,0.833,5.268,56d_cqr
2026-04-20,0.792,5.527,56d_cqr
2026-04-21,0.875,6.529,56d_cqr
2026-04-22,0.708,7.346,56d_cqr
2026-04-23,0.500,12.267,56d_cqr
2026-04-24,0.917,5.898,56d_cqr
2026-04-25,0.458,33.946,56d_cqr
2026-04-26,0.500,59.334,56d_cqr
2026-04-27,0.792,13.164,56d_cqr
2026-04-28,0.958,8.078,56d_cqr
